,Disease,Symptom,Position,Age,Gen
10,http://ai.symptomchecking.org/condtion/Addison's_disease,"http://dbpedia.org/resource/Clinical_urine_tests, http://dbpedia.org/resource/Glucose, http://dbpedia.org/resource/Adjective, http://dbpedia.org/resource/Bleeding, http://dbpedia.org/resource/Blood_test, http://dbpedia.org/resource/Corticosteroid, http://dbpedia.org/resource/Medical_imaging, http://dbpedia.org/resource/Vomiting, http://dbpedia.org/resource/Aldosterone, http://dbpedia.org/resource/Immune_system, http://dbpedia.org/resource/University_of_Edinburgh, http://dbpedia.org/resource/Intravenous_therapy, http://dbpedia.org/resource/Therapy, http://dbpedia.org/resource/Joseph_Addison, http://dbpedia.org/resource/Adrenal_insufficiency, http://dbpedia.org/resource/Endocrine_disease, http://dbpedia.org/resource/Thomas_Addison, http://dbpedia.org/resource/Corticotropin-releasing_hormone, http://dbpedia.org/resource/Dieting, http://dbpedia.org/resource/Surgery, http://dbpedia.org/resource/Adrenocorticotropic_hormone, http://dbpedia.org/resource/Carbohydrate, http://dbpedia.org/resource/Consciousness, http://dbpedia.org/resource/Fludrocortisone, http://dbpedia.org/resource/Hormone, http://dbpedia.org/resource/Adrenal_crisis, http://dbpedia.org/resource/Blood_pressure, http://dbpedia.org/resource/Cortisol, http://dbpedia.org/resource/Pain, http://dbpedia.org/resource/Tuberculosis, http://dbpedia.org/resource/Weight_loss, http://dbpedia.org/resource/Sepsis, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Abdominal_pain","http://dbpedia.org/resource/Hypothalamus, http://dbpedia.org/resource/Pituitary_gland, http://dbpedia.org/resource/Adrenal_gland, http://dbpedia.org/resource/Skin",any,any
11,http://ai.symptomchecking.org/condtion/Alcohol_poisoning,"http://dbpedia.org/resource/Methanol, http://dbpedia.org/resource/Metabolism, http://dbpedia.org/resource/Recreational_drug_use, http://dbpedia.org/resource/Sin, http://dbpedia.org/resource/Euphoria, http://dbpedia.org/resource/Methanol_toxicity, http://dbpedia.org/resource/Mormonism, http://dbpedia.org/resource/Alcohol_intoxication, http://dbpedia.org/resource/Chemical_compound, http://dbpedia.org/resource/Methyl_group, http://dbpedia.org/resource/Consciousness, http://dbpedia.org/resource/Ethanol, http://dbpedia.org/resource/Vomiting, http://dbpedia.org/resource/Alcoholic_drink, http://dbpedia.org/resource/Ataxia, http://dbpedia.org/resource/Myalgia, http://dbpedia.org/resource/Erythema, http://dbpedia.org/resource/Coma","http://dbpedia.org/resource/Ear, http://dbpedia.org/resource/Liver, http://dbpedia.org/resource/Gastric_mucosa, http://dbpedia.org/resource/Semicircular_canals",any,any
12,http://ai.symptomchecking.org/condtion/Allergies,"http://dbpedia.org/resource/Histamine, http://dbpedia.org/resource/Food_allergy, http://dbpedia.org/resource/Inflammation, http://dbpedia.org/resource/Epinephrine, http://dbpedia.org/resource/Corticosteroid, http://dbpedia.org/resource/Food_intolerance, http://dbpedia.org/resource/Skin_allergy_test, http://dbpedia.org/resource/Antihistamine, http://dbpedia.org/resource/Allergen_immunotherapy, http://dbpedia.org/resource/Medical_history, http://dbpedia.org/resource/Immune_system, http://dbpedia.org/resource/Allergen, http://dbpedia.org/resource/Foodborne_illness, http://dbpedia.org/resource/Immunoglobulin_E, http://dbpedia.org/resource/Pollen, http://dbpedia.org/resource/Insect_bites_and_stings, http://dbpedia.org/resource/Allergy, http://dbpedia.org/resource/Rash, http://dbpedia.org/resource/Asthma, http://dbpedia.org/resource/Genetic_disorder, http://dbpedia.org/resource/Hypersensitivity, http://dbpedia.org/resource/Rhinitis, http://dbpedia.org/resource/Atopic_dermatitis, http://dbpedia.org/resource/Anaphylaxis, http://dbpedia.org/resource/Allergic_rhinitis","http://dbpedia.org/resource/Basophil, http://dbpedia.org/resource/Blood, http://dbpedia.org/resource/Sensory_neuron, http://dbpedia.org/resource/Mast_cell",any,any
13,http://ai.symptomchecking.org/condtion/Alzheimer's_disease,"http://dbpedia.org/resource/Psychiatry, http://dbpedia.org/resource/Disease, http://dbpedia.org/resource/Memory, http://dbpedia.org/resource/Blood_test, http://dbpedia.org/resource/Cognitive_test, http://dbpedia.org/resource/Pathology, http://dbpedia.org/resource/Spatial_disorientation, http://dbpedia.org/resource/Language, http://dbpedia.org/resource/German_language, http://dbpedia.org/resource/Medical_imaging, http://dbpedia.org/resource/Antipsychotic, http://dbpedia.org/resource/Neurodegeneration, http://dbpedia.org/resource/Histology, http://dbpedia.org/resource/Alois_Alzheimer, http://dbpedia.org/resource/Symptom, http://dbpedia.org/resource/Psychosis, http://dbpedia.org/resource/Developed_country, http://dbpedia.org/resource/Major_depressive_disorder, http://dbpedia.org/resource/Dementia, http://dbpedia.org/resource/Alzheimer's_disease, http://dbpedia.org/resource/Genetic_disorder, http://dbpedia.org/resource/Hypertension, http://dbpedia.org/resource/Obesity",http://dbpedia.org/resource/Human_brain,any,any
14,http://ai.symptomchecking.org/condtion/Anal_cancer,"http://dbpedia.org/resource/Lymphoma, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Adenocarcinoma, http://dbpedia.org/resource/Anatomical_terms_of_location, http://dbpedia.org/resource/Sarcoma, http://dbpedia.org/resource/Squamous_cell_carcinoma, http://dbpedia.org/resource/Carcinoma, http://dbpedia.org/resource/Colorectal_cancer, http://dbpedia.org/resource/Melanoma, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Human_papillomavirus_infection, http://dbpedia.org/resource/Cancer, http://dbpedia.org/resource/Anal_cancer",http://dbpedia.org/resource/Gastrointestinal_tract,any,any
15,http://ai.symptomchecking.org/condtion/Anaphylaxis,"http://dbpedia.org/resource/Epinephrine_autoinjector, http://dbpedia.org/resource/Insect_bites_and_stings, http://dbpedia.org/resource/Latex, http://dbpedia.org/resource/Blood_pressure, http://dbpedia.org/resource/Hospital, http://dbpedia.org/resource/Immune_system, http://dbpedia.org/resource/Ancient_Greek, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Epinephrine, http://dbpedia.org/resource/Vomiting, http://dbpedia.org/resource/Allergen, http://dbpedia.org/resource/Corticosteroid, http://dbpedia.org/resource/Antihistamine, http://dbpedia.org/resource/Intravenous_therapy, http://dbpedia.org/resource/Anaphylaxis, http://dbpedia.org/resource/Rash, http://dbpedia.org/resource/Edema","http://dbpedia.org/resource/White_blood_cell, http://dbpedia.org/resource/Tongue",any,Female
16,http://ai.symptomchecking.org/condtion/Angioedema,"http://dbpedia.org/resource/Epinephrine, http://dbpedia.org/resource/Medical_emergency, http://dbpedia.org/resource/Airway_obstruction, http://dbpedia.org/resource/Asphyxia, http://dbpedia.org/resource/Angioedema, http://dbpedia.org/resource/Edema, http://dbpedia.org/resource/Allergy, http://dbpedia.org/resource/Hives","http://dbpedia.org/resource/Dermis, http://dbpedia.org/resource/Mucous_membrane, http://dbpedia.org/resource/Subcutaneous_tissue",any,any
17,http://ai.symptomchecking.org/condtion/Ankylosing_spondylitis,"http://dbpedia.org/resource/Blood_test, http://dbpedia.org/resource/Symptom, http://dbpedia.org/resource/Ancient_Egyptian_funerary_practices, http://dbpedia.org/resource/Medical_imaging, http://dbpedia.org/resource/Inflammation, http://dbpedia.org/resource/Corticosteroid, http://dbpedia.org/resource/Infliximab, http://dbpedia.org/resource/Rheumatoid_factor, http://dbpedia.org/resource/Disease, http://dbpedia.org/resource/Methotrexate, http://dbpedia.org/resource/Ancient_Greek, http://dbpedia.org/resource/Spondyloarthropathy, http://dbpedia.org/resource/Disease-modifying_antirheumatic_drug, http://dbpedia.org/resource/Nonsteroidal_anti-inflammatory_drug, http://dbpedia.org/resource/Antibody, http://dbpedia.org/resource/Surgery, http://dbpedia.org/resource/Ankylosing_spondylitis, http://dbpedia.org/resource/Genetic_disorder, http://dbpedia.org/resource/Irritable_bowel_syndrome, http://dbpedia.org/resource/Periodic_fever_syndrome, http://dbpedia.org/resource/Arthritis, http://dbpedia.org/resource/Autoimmune_disease, http://dbpedia.org/resource/Pain","http://dbpedia.org/resource/Vertebral_column, http://dbpedia.org/resource/Pelvis",any,any
18,http://ai.symptomchecking.org/condtion/Appendicitis,"http://dbpedia.org/resource/Parasitism, http://dbpedia.org/resource/Feces, http://dbpedia.org/resource/Inflammation, http://dbpedia.org/resource/Pathogenic_bacteria, http://dbpedia.org/resource/Acute_abdomen, http://dbpedia.org/resource/Necrosis, http://dbpedia.org/resource/Radiography, http://dbpedia.org/resource/Appendectomy, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Radiology, http://dbpedia.org/resource/Ragnall_mac_Somairle, http://dbpedia.org/resource/The_Combination, http://dbpedia.org/resource/Vomiting, http://dbpedia.org/resource/Laparoscopy, http://dbpedia.org/resource/Physical_examination, http://dbpedia.org/resource/In_vitro, http://dbpedia.org/resource/Hemodynamics, http://dbpedia.org/resource/CT_scan, http://dbpedia.org/resource/Surgery, http://dbpedia.org/resource/Medical_ultrasound, http://dbpedia.org/resource/Parenchyma, http://dbpedia.org/resource/Antibiotics, http://dbpedia.org/resource/London_Evening_Standard, http://dbpedia.org/resource/Anorexia_(symptom), http://dbpedia.org/resource/Sepsis, http://dbpedia.org/resource/Appendicitis, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Abdominal_pain, http://dbpedia.org/resource/Gallstone","http://dbpedia.org/resource/Abdominal_cavity, http://dbpedia.org/resource/Laparotomy, http://dbpedia.org/resource/Abdomen, http://dbpedia.org/resource/Abdominal_wall",young,Female
19,http://ai.symptomchecking.org/condtion/Arthritis,"http://dbpedia.org/resource/Greek_language, http://dbpedia.org/resource/Analgesic, http://dbpedia.org/resource/Heat, http://dbpedia.org/resource/Ibuprofen, http://dbpedia.org/resource/Joint_stiffness, http://dbpedia.org/resource/Ice, http://dbpedia.org/resource/Western_world, http://dbpedia.org/resource/Fibromyalgia, http://dbpedia.org/resource/Rheumatism, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Paracetamol, http://dbpedia.org/resource/Disease, http://dbpedia.org/resource/Australia, http://dbpedia.org/resource/Gout, http://dbpedia.org/resource/Autoimmune_disease, http://dbpedia.org/resource/Septic_arthritis, http://dbpedia.org/resource/Arthritis, http://dbpedia.org/resource/Weight_loss, http://dbpedia.org/resource/Osteoarthritis, http://dbpedia.org/resource/Systemic_lupus_erythematosus, http://dbpedia.org/resource/Rheumatoid_arthritis",http://dbpedia.org/resource/Joint_replacement,any,any
20,http://ai.symptomchecking.org/condtion/Asbestosis,"http://dbpedia.org/resource/Parenchyma, http://dbpedia.org/resource/Inflammation, http://dbpedia.org/resource/Disease, http://dbpedia.org/resource/Mining, http://dbpedia.org/resource/Pulmonary_fibrosis, http://dbpedia.org/resource/Asbestos, http://dbpedia.org/resource/Occupational_lung_disease, http://dbpedia.org/resource/Mesothelioma, http://dbpedia.org/resource/Lung_cancer, http://dbpedia.org/resource/Asbestosis",http://dbpedia.org/resource/Lung,any,any
21,http://ai.symptomchecking.org/condtion/Asthma,"http://dbpedia.org/resource/Inflammation, http://dbpedia.org/resource/Air_pollution, http://dbpedia.org/resource/Aspirin, http://dbpedia.org/resource/Human_sexual_activity, http://dbpedia.org/resource/Corticosteroid, http://dbpedia.org/resource/Ancient_Egypt, http://dbpedia.org/resource/Disease, http://dbpedia.org/resource/Intravenous_therapy, http://dbpedia.org/resource/Antileukotriene, http://dbpedia.org/resource/Salbutamol, http://dbpedia.org/resource/Therapy, http://dbpedia.org/resource/Magnesium_sulfate, http://dbpedia.org/resource/Peak_expiratory_flow, http://dbpedia.org/resource/Beta_blocker, http://dbpedia.org/resource/Type_I_hypersensitivity, http://dbpedia.org/resource/Allergen, http://dbpedia.org/resource/Beta2-adrenergic_agonist, http://dbpedia.org/resource/Airway_obstruction, http://dbpedia.org/resource/Genetic_disorder, http://dbpedia.org/resource/Bronchospasm, http://dbpedia.org/resource/Atopy, http://dbpedia.org/resource/Hypersensitivity, http://dbpedia.org/resource/Asthma",http://dbpedia.org/resource/Lung,young,any
22,http://ai.symptomchecking.org/condtion/Atopic_eczema,"http://dbpedia.org/resource/Inflammation, http://dbpedia.org/resource/Antibiotics, http://dbpedia.org/resource/Twin, http://dbpedia.org/resource/Moisturizer, http://dbpedia.org/resource/Heredity, http://dbpedia.org/resource/Disease, http://dbpedia.org/resource/Dust, http://dbpedia.org/resource/Corticosteroid, http://dbpedia.org/resource/Food_allergy, http://dbpedia.org/resource/Scratching, http://dbpedia.org/resource/Hand_washing, http://dbpedia.org/resource/Dermatitis, http://dbpedia.org/resource/Light_therapy, http://dbpedia.org/resource/Chlorine, http://dbpedia.org/resource/Calcineurin, http://dbpedia.org/resource/Body_fluid, http://dbpedia.org/resource/Skin_infection, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Contact_dermatitis, http://dbpedia.org/resource/Asthma, http://dbpedia.org/resource/Psoriasis, http://dbpedia.org/resource/Atopic_dermatitis, http://dbpedia.org/resource/Alzheimer's_disease, http://dbpedia.org/resource/Allergic_rhinitis, http://dbpedia.org/resource/Allergy, http://dbpedia.org/resource/Autoimmune_disease","http://dbpedia.org/resource/Wool, http://dbpedia.org/resource/Semipermeable_membrane",young,any
23,http://ai.symptomchecking.org/condtion/Bacterial_vaginosis,"http://dbpedia.org/resource/Lactobacillus, http://dbpedia.org/resource/Vaginal_flora, http://dbpedia.org/resource/Types_of_tennis_match, http://dbpedia.org/resource/Antibiotics, http://dbpedia.org/resource/Africa, http://dbpedia.org/resource/Vaginal_yeast_infection, http://dbpedia.org/resource/Clindamycin, http://dbpedia.org/resource/Asia, http://dbpedia.org/resource/PH, http://dbpedia.org/resource/Bacteria, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/HIV, http://dbpedia.org/resource/Trichomonas, http://dbpedia.org/resource/Probiotic, http://dbpedia.org/resource/Douche, http://dbpedia.org/resource/Metronidazole, http://dbpedia.org/resource/Urination, http://dbpedia.org/resource/Europe, http://dbpedia.org/resource/Intrauterine_device, http://dbpedia.org/resource/Risk, http://dbpedia.org/resource/Vaginitis, http://dbpedia.org/resource/Pregnancy, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Vaginal_discharge, http://dbpedia.org/resource/Sexually_transmitted_infection, http://dbpedia.org/resource/Itch","http://dbpedia.org/resource/Skin, http://dbpedia.org/resource/Vagina",any,Female
24,http://ai.symptomchecking.org/condtion/Bladder_cancer,"http://dbpedia.org/resource/Transitional_cell_carcinoma, http://dbpedia.org/resource/Histology, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Five-year_survival_rate, http://dbpedia.org/resource/Lymphoma, http://dbpedia.org/resource/Carcinoma, http://dbpedia.org/resource/Sarcoma, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Bladder_cancer, http://dbpedia.org/resource/Cancer","http://dbpedia.org/resource/Epithelium, http://dbpedia.org/resource/Urothelium, http://dbpedia.org/resource/Urinary_bladder",any,any
25,http://ai.symptomchecking.org/condtion/Bone_cancer,"http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Benign_tumor, http://dbpedia.org/resource/Histology, http://dbpedia.org/resource/Five-year_survival_rate, http://dbpedia.org/resource/Malignancy, http://dbpedia.org/resource/Neoplasm, http://dbpedia.org/resource/Bone_tumor",http://dbpedia.org/resource/Bone,any,any
26,http://ai.symptomchecking.org/condtion/Bone_cancer_Teenagers_and_young_adults,"http://dbpedia.org/resource/Five-year_survival_rate, http://dbpedia.org/resource/Histology, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Malignancy, http://dbpedia.org/resource/Benign_tumor, http://dbpedia.org/resource/Bone_tumor, http://dbpedia.org/resource/Neoplasm",http://dbpedia.org/resource/Bone,any,any
